cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,360,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,13.4948,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,146.86,810.87
256,368,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,13.6398,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,148.52,811.1
256,376,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,13.8034,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,149.96,810.24
256,384,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,13.6121,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,155.3,830.51
256,392,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.2659,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,151.27,800.92
256,400,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.2762,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,154.24,808.8
256,408,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.3737,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,156.26,811.72
256,416,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.4739,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,158.22,814.45
256,424,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,4,14.5661,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,160.24,817.59
256,432,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,14.4442,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,164.65,832.86
256,440,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,14.5059,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,166.98,837.64
256,448,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,203,4,14.5269,opus_gemm_flatmm_splitk_256x32x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,169.77,844.75
256,456,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.5448,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,172.59,852.02
256,464,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,14.6347,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,174.54,855.04
